Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16713508k(3967660k free), swap 32966436k(9862712k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.262: [GC (Allocation Failure) 0.262: [DefNew: 959K->63K(960K), 0.0016399 secs] 26902K->26897K(524224K), 0.0017068 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.266: [GC (Allocation Failure) 0.266: [DefNew: 959K->63K(960K), 0.0016204 secs] 27794K->27789K(524224K), 0.0016631 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.271: [GC (Allocation Failure) 0.271: [DefNew: 959K->63K(960K), 0.0016420 secs] 28685K->28681K(524224K), 0.0016866 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.274: [GC (Allocation Failure) 0.274: [DefNew: 959K->63K(960K), 0.0020786 secs] 29577K->29573K(524224K), 0.0021362 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
0.281: [GC (Allocation Failure) 0.281: [DefNew: 959K->63K(960K), 0.0022340 secs] 30981K->30976K(524224K), 0.0022945 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.284: [GC (Allocation Failure) 0.284: [DefNew: 959K->63K(960K), 0.0025167 secs] 31873K->31866K(524224K), 0.0025800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.290: [GC (Allocation Failure) 0.290: [DefNew: 959K->63K(960K), 0.0018015 secs] 32763K->32758K(524224K), 0.0018650 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.293: [GC (Allocation Failure) 0.293: [DefNew: 959K->64K(960K), 0.0020705 secs] 33654K->33649K(524224K), 0.0021335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.297: [GC (Allocation Failure) 0.297: [DefNew: 960K->63K(960K), 0.0017262 secs] 34545K->34541K(524224K), 0.0017733 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.300: [GC (Allocation Failure) 0.300: [DefNew: 959K->64K(960K), 0.0017830 secs] 35437K->35433K(524224K), 0.0018315 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.305: [GC (Allocation Failure) 0.305: [DefNew: 960K->63K(960K), 0.0018703 secs] 36329K->36324K(524224K), 0.0019261 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.309: [GC (Allocation Failure) 0.309: [DefNew: 959K->63K(960K), 0.0019829 secs] 37222K->37211K(524224K), 0.0020359 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.314: [GC (Allocation Failure) 0.314: [DefNew: 959K->63K(960K), 0.0024150 secs] 38108K->38102K(524224K), 0.0024792 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.319: [GC (Allocation Failure) 0.319: [DefNew: 959K->63K(960K), 0.0019396 secs] 38999K->38987K(524224K), 0.0019940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.324: [GC (Allocation Failure) 0.324: [DefNew: 959K->63K(960K), 0.0021009 secs] 39884K->39874K(524224K), 0.0021613 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.327: [GC (Allocation Failure) 0.327: [DefNew: 959K->63K(960K), 0.0018536 secs] 40770K->40760K(524224K), 0.0019003 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.331: [GC (Allocation Failure) 0.331: [DefNew: 959K->64K(960K), 0.0025015 secs] 41657K->41644K(524224K), 0.0025680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.336: [GC (Allocation Failure) 0.336: [DefNew: 960K->63K(960K), 0.0019059 secs] 42541K->42530K(524224K), 0.0019503 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
0.342: [GC (Allocation Failure) 0.342: [DefNew: 959K->63K(960K), 0.0018914 secs] 43426K->43413K(524224K), 0.0019454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.345: [GC (Allocation Failure) 0.345: [DefNew: 959K->63K(960K), 0.0017560 secs] 44310K->44295K(524224K), 0.0017994 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.350: [GC (Allocation Failure) 0.350: [DefNew: 959K->64K(960K), 0.0020929 secs] 45191K->45173K(524224K), 0.0021633 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.354: [GC (Allocation Failure) 0.354: [DefNew: 960K->63K(960K), 0.0027721 secs] 46071K->46054K(524224K), 0.0028384 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.359: [GC (Allocation Failure) 0.359: [DefNew: 959K->63K(960K), 0.0023668 secs] 46951K->46939K(524224K), 0.0024279 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.363: [GC (Allocation Failure) 0.363: [DefNew: 959K->63K(960K), 0.0019446 secs] 47835K->47822K(524224K), 0.0019897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.366: [GC (Allocation Failure) 0.366: [DefNew: 959K->64K(960K), 0.0021471 secs] 48718K->48700K(524224K), 0.0022013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.372: [GC (Allocation Failure) 0.372: [DefNew: 960K->63K(960K), 0.0027101 secs] 49597K->49584K(524224K), 0.0027743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.376: [GC (Allocation Failure) 0.376: [DefNew: 959K->63K(960K), 0.0027348 secs] 50481K->50469K(524224K), 0.0027939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.383: [GC (Allocation Failure) 0.383: [DefNew: 959K->64K(960K), 0.0022654 secs] 51365K->51353K(524224K), 0.0023145 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
0.387: [GC (Allocation Failure) 0.387: [DefNew: 960K->63K(960K), 0.0026443 secs] 52249K->52238K(524224K), 0.0027117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.392: [GC (Allocation Failure) 0.392: [DefNew: 959K->63K(960K), 0.0022682 secs] 53134K->53120K(524224K), 0.0023236 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.396: [GC (Allocation Failure) 0.396: [DefNew: 959K->63K(960K), 0.0019908 secs] 54017K->54003K(524224K), 0.0020302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.402: [GC (Allocation Failure) 0.402: [DefNew: 959K->63K(960K), 0.0022613 secs] 54900K->54882K(524224K), 0.0023083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.405: [GC (Allocation Failure) 0.405: [DefNew: 959K->63K(960K), 0.0019652 secs] 55778K->55752K(524224K), 0.0020033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.410: [GC (Allocation Failure) 0.410: [DefNew: 959K->63K(960K), 0.0019588 secs] 56648K->56623K(524224K), 0.0020050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.413: [GC (Allocation Failure) 0.413: [DefNew: 959K->63K(960K), 0.0021177 secs] 57519K->57496K(524224K), 0.0021564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.424: [GC (Allocation Failure) 0.424: [DefNew: 959K->63K(960K), 0.0031673 secs] 59416K->59400K(524224K), 0.0032337 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.429: [GC (Allocation Failure) 0.429: [DefNew: 959K->63K(960K), 0.0021264 secs] 60296K->60283K(524224K), 0.0021724 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.434: [GC (Allocation Failure) 0.434: [DefNew: 959K->64K(960K), 0.0020253 secs] 61179K->61167K(524224K), 0.0020805 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.437: [GC (Allocation Failure) 0.437: [DefNew: 960K->63K(960K), 0.0020818 secs] 62064K->62052K(524224K), 0.0021352 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.442: [GC (Allocation Failure) 0.442: [DefNew: 959K->64K(960K), 0.0021254 secs] 62948K->62934K(524224K), 0.0021673 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.445: [GC (Allocation Failure) 0.445: [DefNew: 960K->63K(960K), 0.0021410 secs] 63831K->63815K(524224K), 0.0021828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.450: [GC (Allocation Failure) 0.450: [DefNew: 959K->64K(960K), 0.0028136 secs] 64711K->64696K(524224K), 0.0028774 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.454: [GC (Allocation Failure) 0.454: [DefNew: 960K->63K(960K), 0.0021774 secs] 65593K->65581K(524224K), 0.0022489 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.460: [GC (Allocation Failure) 0.460: [DefNew: 959K->63K(960K), 0.0025068 secs] 66477K->66468K(524224K), 0.0025532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.464: [GC (Allocation Failure) 0.464: [DefNew: 959K->64K(960K), 0.0020655 secs] 67365K->67353K(524224K), 0.0021099 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.470: [GC (Allocation Failure) 0.470: [DefNew: 960K->64K(960K), 0.0020165 secs] 68250K->68242K(524224K), 0.0020567 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.473: [GC (Allocation Failure) 0.473: [DefNew: 960K->64K(960K), 0.0019288 secs] 69138K->69130K(524224K), 0.0019695 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
